id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr
1,ABB,Dec 2012,8.77,12,22.41,0,,1.8225,42,59,68,3.081,25,0,101
2,ABB,Mar 2014,8.7,12,25.13,0,,1.9982,11,144,93,3.7524,25,0,155
3,ABB,Mar 2014,8.7,12,25.13,0,,1.9982,0,0,93,3.7524,25,0,0
4,ABB,Mar 2015,10,14,24.44,0,,1.6659,28,187,108,4.4619,29,0,215
5,ABB,Mar 2015,10,14,24.44,0,,1.6659,-1899,1864,108,4.4619,29,0,-35
6,ABB,Mar 2016,9.76,14,21.34,0,138.3333,1.6176,172,77,120,5.6905,29,0,249
7,ABB,Mar 2016,9.76,14,21.34,0,138.3333,1.6176,728,816,120,5.6905,29,0,1544
8,ABB,Mar 2017,9.54,14,19.97,0,227.5,1.4051,152,155,130,6.6048,31,0,307
9,ABB,Mar 2017,9.54,14,19.97,0,227.5,1.4051,459,1730,130,6.6048,31,0,2189
10,ABB,Mar 2018,12.16,16,23.69,0,160.5,1.3651,-62,215,189,8.0619,29,0,153
11,ABB,Mar 2018,12.16,16,23.69,0,160.5,1.3651,-994,3192,189,8.0619,29,0,2198
12,ABB,Mar 2019,12.23,16,22.41,0,359,1.2509,242,257,212,9.5619,31,0,499
13,ABB,Mar 2019,12.23,16,22.41,0,359,1.2509,-459,3050,212,9.5619,31,0,2591
14,ABB,Mar 2020,14.49,18,24.39,0.072,96.7778,1.1539,225,401,279,11.5762,90,175,626
15,ABB,Mar 2020,14.49,18,24.39,0.072,96.7778,1.1539,-206,5643,279,11.5762,90,175,5437
16,ABB,Mar 2021,16.03,21,26.56,0.0588,55.7222,1.1224,655,72,325,12.3905,85,153,727
17,ABB,Mar 2021,16.03,21,26.56,0.0588,55.7222,1.1224,-225,4009,325,12.3905,85,153,3784
18,ABB,Mar 2022,16.26,22,28.33,0.0539,61.3158,1.1631,552,396,376,13.4286,73,152,948
19,ABB,Mar 2022,16.26,22,28.33,0.0539,61.3158,1.1631,161,3936,376,13.4286,73,152,4097
20,ABB,Mar 2023,17.74,23,29.77,0.0354,85,1.1741,745,148,447,15.181,73,113,893
21,ABB,Mar 2023,17.74,23,29.77,0.0354,85,1.1741,-922,4699,447,15.181,73,113,3777
22,ABB,Mar 2024,20.53,25,32.47,0.0224,141.75,1.1263,797,416,565,17.6143,73,83,1213
23,ABB,Mar 2024,20.53,25,32.47,0.0224,141.75,1.1263,1095,4943,565,17.6143,73,83,6038
24,ADANIENSOL,Mar 2014,,,0,0,,,0,0,0,0.1,,0,0
25,ADANIENSOL,Mar 2015,-5.34,78,-0.65,8.9575,1.4247,0.0114,-1899,1864,0,0.0994,0,9701,-35
26,ADANIENSOL,Mar 2016,16.77,88,13.77,3.2129,2.0867,0.1868,728,816,3,0.2429,0,8585,1544
27,ADANIENSOL,Mar 2017,14.46,69,14.12,3.0455,2.2179,0.2245,459,1730,4,0.2679,0,8975,2189
28,ADANIENSOL,Mar 2018,28.98,72,18.87,1.7216,3.3149,0.2284,-994,3192,10,0.5506,0,10428,2198
29,ADANIENSOL,Mar 2019,7.65,38,6.95,2.5037,2.2387,0.2244,-459,3050,5,0.7312,0,20137,2591
30,ADANIENSOL,Mar 2020,6.18,37,8.31,2.8528,2.0192,0.2875,-206,5643,7,0.7726,0,24246,5437
31,ADANIENSOL,Mar 2021,13,40,14.46,3.0379,2.3925,0.2296,-225,4009,11,0.8108,0,27095,3784
32,ADANIENSOL,Mar 2022,10.98,37,12.47,3.0164,2.3222,0.2372,161,3936,11,0.9012,0,29902,4097
33,ADANIENSOL,Mar 2023,9.64,34,10.9,2.9168,2.1938,0.2465,-922,4699,11,1.0537,0,34270,3777
34,ADANIENSOL,Mar 2024,7.2,30,9.46,2.9325,2.2848,0.2837,1095,4943,10,1.1337,0,37070,6038
35,ADANIENT,Mar 2013,2.63,13,5.69,3.2404,2.2325,0.4145,-7124,14790,15,19.4509,10,69332,7666
36,ADANIENT,Mar 2014,4.82,17,11.14,3.0298,1.8482,0.4653,221,8007,20,21.5973,7,71980,8228
37,ADANIENT,Mar 2015,3.56,19,8.93,3.2483,1.8767,0.4932,-2933,11465,18,23.3891,8,83571,8532
38,ADANIENT,Mar 2016,2.94,5,7.47,1.4329,2.0103,0.816,3287,1825,9,12.1618,4,19169,5112
39,ADANIENT,Mar 2017,2.53,5,6.54,1.4747,2.109,0.7673,-686,1460,9,12.8509,4,20846,774
40,ADANIENT,Mar 2018,1.65,6,3.94,1.1689,1.9208,0.6369,-4707,7649,7,13.7173,6,17637,2942
41,ADANIENT,Mar 2019,1.25,5,3.43,0.7619,1.5218,0.9493,5723,2487,7,13.4145,6,11243,3236
42,ADANIENT,Mar 2020,2.4,5,6.14,0.7328,2.014,0.9259,1372,1082,10,15.4064,10,12419,2454
43,ADANIENT,Mar 2021,2.65,6,6.1,0.9457,2.1786,0.766,-4568,8611,8,15.5991,12,16227,4043
44,ADANIENT,Mar 2022,1.14,5,3.54,1.8693,1.8709,0.6834,-15656,17041,7,20.2336,14,41604,1385
45,ADANIENT,Mar 2023,1.9,7,7.33,1.6096,2.4318,0.9028,2167,15459,22,28.9921,6,53200,17626
46,ADANIENT,Mar 2024,3.46,12,8.53,1.6714,2.7493,0.6004,-8455,18767,28,34.2772,5,65310,10312
47,ADANIGREEN,Mar 2017,-9.36,80,-3.91,3.6135,1.4461,0.0815,-1483,1511,0,0.0944,0,4347,28
48,ADANIGREEN,Mar 2018,-9.32,57,-10.29,7.3557,1.6033,0.0942,-3779,4428,-1,0.0857,0,9864,649
49,ADANIGREEN,Mar 2019,-23.08,74,-24.57,5.7641,1.4264,0.1404,-1041,2666,-3,0.1236,0,11142,1625
50,ADANIGREEN,Mar 2020,-2.67,57,-2.89,6.3072,1.3457,0.1384,-1778,3743,0,0.1507,0,14866,1965
51,ADANIGREEN,Mar 2021,5.83,72,8.27,11.0041,1.3477,0.1089,-7536,9137,1,0.1407,0,24209,1601
52,ADANIGREEN,Mar 2022,9.53,68,18.71,20.2112,1.5357,0.0871,-15603,18730,3,0.1671,0,52832,3127
53,ADANIGREEN,Mar 2023,12.51,64,13.32,7.4237,1.9364,0.1162,3408,3857,6,0.4611,0,54223,7265
54,ADANIGREEN,Mar 2024,13.67,79,12.81,6.5953,1.7139,0.1047,-13347,21060,7,0.6208,0,64858,7713
55,ADANIPORTS,Mar 2013,45.82,67,25.63,1.8173,5.0295,0.17,-3757,5136,8,1.5945,12,11620,1379
56,ADANIPORTS,Mar 2014,36.05,60,19.86,1.4808,3.6888,0.1957,-1378,2510,8,2.1171,12,12979,1132
57,ADANIPORTS,Mar 2015,37.78,63,21.59,1.6513,3.9047,0.1918,572,2485,11,2.6002,10,17776,3057
58,ADANIPORTS,Mar 2016,40.17,64,21.15,1.6544,4.7215,0.1852,-1772,4153,14,3.2621,8,22342,2381
59,ADANIPORTS,Mar 2017,46.24,64,22.26,1.2675,5.7841,0.1946,1434,2629,19,4.2333,7,22214,4063
60,ADANIPORTS,Mar 2018,32.59,63,17.65,1.0702,5.0671,0.2397,1762,3846,18,5.049,11,22370,5608
61,ADANIPORTS,Mar 2019,37.03,60,16.6,1.137,5.6931,0.194,1661,4368,19,5.887,1,27712,6029
62,ADANIPORTS,Mar 2020,31.88,50,14.87,1.188,4.0364,0.1918,6653,749,19,6.2702,17,30242,7402
63,ADANIPORTS,Mar 2021,40.23,69,16.59,1.1779,4.7251,0.1683,-6508,14064,25,7.4978,20,35855,7556
64,ADANIPORTS,Mar 2022,28.93,56,11.84,1.1462,4.4654,0.1741,4927,5493,23,9.9102,22,47935,10420
65,ADANIPORTS,Mar 2023,25.85,52,11.88,1.1772,4.7711,0.1852,-4816,16716,25,10.5067,20,53434,11900
66,ADANIPORTS,Mar 2024,30.34,58,15.35,0.9373,5.9495,0.2283,8250,6768,38,12.2171,16,49470,15018
67,ADANIPORTS,Mar 2013,45.82,67,25.63,1.8173,5.0295,0.17,-3757,5136,8,1.5945,12,11620,1379
68,ADANIPORTS,Mar 2014,36.05,60,19.86,1.4808,3.6888,0.1957,-1378,2510,8,2.1171,12,12979,1132
69,ADANIPORTS,Mar 2015,37.78,63,21.59,1.6513,3.9047,0.1918,572,2485,11,2.6002,10,17776,3057
70,ADANIPORTS,Mar 2016,40.17,64,21.15,1.6544,4.7215,0.1852,-1772,4153,14,3.2621,8,22342,2381
