company_id,company_name,about_company,broad_sector,generated_tag,match
ABB,Abbott India Ltd,Abbott India Ltd is one of the leading multinational pharmaceutical companies in India and sells its products through independent distributors primarily within India.,Industrials,Healthcare,False
ADANIENSOL,Adani Energy Solutions Ltd,"AESL, part of the Adani portfolio, is a multidimensional organization with presence in various facets of the energy domain, namely power transmission, distribution, smart metering, and cooling solutions. AESL is India's largest private transmission company",Energy,Energy,True
ADANIENT,Adani Enterprises Ltd,"Adani Enterprises Ltd is an Indian multinational public company and a subsidiary of Adani Group. It is headquartered in Ahmedabad and has business interests in coal mining and trading, airport operations, edible oils, road, rail and water infrastructure, data centers, hydrocarbon exploration, defence and aerospace, multimodal logistics, and agro commodities.",Industrials,Energy,False
ADANIGREEN,Adani Green Energy Ltd,"Adani Green Energy Limited, incorporated in 2015, is a holding company of several subsidiaries carrying business of renewable power generation within the group and is primarily involved in renewable power generation and other ancillary activities.",Energy,Energy,True
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
","Adani Ports & Special Economic Zone is in the business of development, operations and maintenance of port infrastructure (port services and related infrastructure development) and has linked multi product Special Economic Zone (SEZ) and related infrastructure contiguous to Port at Mundra.",Industrials,Unclassified,False
ADANIPOWER,Adani Power Ltd,"Adani Power (APL), a part of the diversified Adani Group, is the largest private thermal power producer in India. The co along with its subsidiaries sell power generated from these projects under a combination of long term Power Purchase Agreements, Short term PPA and on merchant basis",Energy,Power,False
AMBUJACEM,Ambuja Cements Ltd,"Ambuja Cements Ltd. is among the leading cement companies in India. It is a member of the Adani Group. Currently, Ambuja Cement has a cement capacity of 31 million tonnes with six integrated cement manufacturing plants",Materials,Cement,False
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals","Apollo Hospitals Enterprise Limited is an Indian multinational healthcare group headquartered in Chennai. It is the largest for-profit private hospital network in India, with a network of 71 owned and managed hospitals.",Healthcare,Healthcare,True
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company","Asian Paints Ltd is an Indian multinational paint company, headquartered in Mumbai. The company is engaged in the business of manufacturing, selling and distribution of paints, coatings, products related to home decor, bath fittings and providing related services.",Materials,Unclassified,False
ATGL,Adani Total Gas Ltd,"AGL is engaged in City Gas Distribution (CGD) business and supplies natural gas to domestic, commercial, industrial and vehicle users.",Energy,Energy,True
AXISBANK,Axis Bank Ltd,"Incorporated in December 1993, Axis Bank Limited is a private sector bank.It has the third-largest network of branches among private sector banks and an international presence through branches in DIFC (Dubai) and Singapore along with representative offices in Abu Dhabi, Sharjah, Dhaka and Dubai and an offshore banking unit in GIFT City.",Financials,Financials,True
