company_id,broad_sector,cluster_id,return_on_equity_pct,debt_to_equity,revenue_cagr_5yr,fcf_cagr_5yr,operating_profit_margin_pct
ABB,Industrials,0,32.46823465801568,0.022438496891051634,9.716101277290168,37.789734468642024,24.84185330825782
ADANIENSOL,Energy,0,9.461276797721698,2.93252116130053,17.85124994851739,12.69363356487755,34.38911302462817
ADANIENT,Industrials,0,8.534650424813185,1.671358378544375,19.015414753081238,37.789734468642024,11.799296833677312
ADANIGREEN,Energy,3,12.812690665039659,6.595281675818589,34.976172926382844,12.69363356487755,79.3709327548807
ADANIPORTS,Industrials,1,15.3548827162833,0.9373223691689719,19.57867595245697,37.789734468642024,58.36172363445772
ADANIPOWER,Energy,0,48.27674122146251,0.8023177656738903,16.086096410440966,30.711180607907206,36.20186292228556
AMBUJACEM,Materials,0,11.428984947896565,0.01686125048243921,4.115700788754739,9.987217411819094,19.300361881785282
APOLLOHOSP,Healthcare,0,13.480392156862745,0.7688869665513264,14.660042602193135,14.572241252408503,12.56099480560365
ASIANPAINT,Materials,0,29.677488252883382,0.1321016659547202,13.029660349453076,18.035870453634505,21.3692069305536
ATGL,Energy,0,18.65921787709497,0.43491620111731844,21.08864867789759,12.69363356487755,24.670391061452516
AXISBANK,Financials,3,15.832712405189048,8.249122739980766,14.743587120514379,-7.360467011220518,34.69264599658038
BAJAJ-AUTO,Consumer Discretionary,0,26.61418410330778,0.06601754022512257,8.127604751021389,23.982350488934777,19.534209939826162
BAJAJFINSV,Financials,3,25.850351412279537,4.789368120938867,20.97274568418761,-7.360467011220518,37.04045949520755
BAJAJHLDNG,Financials,1,13.576787656460265,0.0011613545449517945,31.612293448969165,25.867547044417382,91.7743830787309
BAJFINANCE,Financials,3,18.841921351830603,3.824788776468134,24.352642739542006,-7.360467011220518,29.285818234737686
BANKBARODA,Financials,3,15.761863790899902,12.143718727289434,17.477297665890944,-7.360467011220518,37.4889127294537
BEL,Industrials,2,4744.047619047619,0.5119047619047619,10.7508063318833,37.789734468642024,24.921057825143084
BHARTIARTL,Communication Services,1,10.35839213740181,2.6094723973904306,13.17410230151459,10.027783515753708,52.20093077836007
BHEL,Industrials,0,1.1539405843358703,0.36238644733611586,-4.728642461606237,37.789734468642024,2.9757669610346125
BOSCHLTD,Consumer Discretionary,0,20.639920424403183,0.003232758620689655,6.717165240230294,-8.2232541048765,12.524660728164047
BPCL,Energy,0,35.511337343822305,0.7218747934157467,8.483226324685255,12.69363356487755,9.837909494446341
BRITANNIA,Consumer Staples,0,54.14869322506978,0.5239786856127886,8.690023727476138,58.59345160881666,18.886039716142882
CANBK,Financials,3,16.716051794688113,14.867419925542423,18.17561078322378,-5.337862323751841,41.753906568101414
CHOLAFIN,Financials,3,17.455213596692694,6.863420609401317,21.939164804975263,-7.360467011220518,28.10102802275218
CIPLA,Healthcare,4,15.554557028383135,0.020931625851868495,9.513860126378049,228.75036590344516,75.59168153953597
COALINDIA,Materials,1,45.16982956605826,0.0788468512027076,7.402890725901301,9.987217411819094,66.29380849329698
DABUR,Consumer Staples,0,18.355969997972835,0.13835394283397526,7.814065037783324,-10.720507575469451,19.348597226701063
DIVISLAB,Healthcare,0,11.78984599513669,0.0002210596124088129,9.664930361854074,29.823071047777418,28.170809432759718
DLF,Real Estate,0,6.908270142781061,0.12259389820192235,-5.136730668466605,-13.167331275383065,33.04807841916913
DMART,Consumer Discretionary,0,13.56294790886726,0.031661140228901485,20.48312440202782,10.027783515753708,8.084427730414067
DRREDDY,Healthcare,0,19.74233736816026,0.07085722375592836,12.639644349571988,-24.68901184980715,28.321016743422227
EICHERMOT,Consumer Discretionary,0,22.172346910501524,0.023219728456636186,11.036936496739692,-0.552520013345259,26.179245283018872
GAIL,Energy,0,12.861540060002339,0.28304998896060884,11.825154521824267,13.814112331981754,10.743987750322754
GODREJCP,Consumer Staples,0,-4.45308779171297,0.2557548817272583,6.447080048592069,8.9609277217112,20.977582292849036
GRASIM,Industrials,0,11.196462612658342,1.5470993649397087,11.15172597339149,37.789734468642024,20.763028905617738
HAL,Industrials,2,3816.5829145728644,0.6180904522613065,8.712548590236358,37.789734468642024,32.08913465652875
HAVELLS,Industrials,0,17.067275412917954,0.040687525177924,13.037907939063121,-13.354873869419738,10.118343195266272
HCLTECH,Information Technology,0,23.01393141233172,0.08435023365512796,12.710299978373406,22.616181854301498,22.015594151738192
HDFCBANK,Financials,3,14.33974005030719,6.808786667718385,21.95098428169122,-7.360467011220518,61.41252040373843
HDFCLIFE,Financials,1,10.732306013909723,0.06477567162143734,21.16813430936688,-7.360467011220518,99.47675449833469
HEROMOTOCO,Consumer Discretionary,1,21.14243742584327,0.03423922255494661,2.1530677970544643,5.8427088923197035,86.14676228532112
HINDALCO,Materials,1,9.567011474761177,0.5309290976579428,10.592433818985914,8.463802473474736,88.94620349876368
HINDUNILVR,Consumer Staples,1,20.074973642078955,0.028974188761763442,9.504485244074123,13.601756995927673,76.31672482874498
ICICIBANK,Financials,3,17.99027109750765,6.445624336310825,17.25086850260209,-7.360467011220518,62.41380175029464
ICICIGI,Financials,1,15.7230643179025,0.0028676771814829987,12.911841003362579,32.27903093325808,87.42129155073948
ICICIPRULI,Financials,1,7.732848705134029,0.10904134484325306,16.84553965244746,-51.26166654001434,102.02531365231931
INDIGO,Consumer Discretionary,1,892.568306010929,0.018579234972677595,19.313355125806165,71.56520119992503,76.29890862649484
INDUSINDBK,Financials,3,14.252273197764223,6.885742949503957,15.495613083358029,-7.360467011220518,38.55469091544986
INFY,Information Technology,0,29.788006718416632,0.09486358890553362,13.199100930556229,7.201272446841034,23.703390381987376
IOC,Energy,0,23.53162465856491,0.7230954600718581,8.008755667240486,12.69363356487755,9.743776019125345
IRCTC,Consumer Discretionary,0,34.39628482972136,0.018575851393188854,17.955244103890912,35.50477381816852,34.33255269320843
IRFC,Financials,3,13.038085361638096,8.378352548852153,19.06740855567788,-7.360467011220518,99.50459748545694
ITC,Consumer Staples,0,27.851074395694365,0.004066731984914169,7.950896846254429,21.642595037341806,37.0177518132814
JINDALSTEL,Materials,0,13.410506363390198,0.3716941962270963,1.4028310947741707,9.987217411819094,20.260555268697622
JIOFIN,Financials,1,1.153456416595399,0.0,17.364083084246516,-7.360467011220518,84.04312668463612
JSWENERGY,Energy,0,8.280529953917052,1.5156009984639016,4.6799560539164675,12.69363356487755,46.857043357130415
JSWSTEEL,Materials,0,11.5528718021347,1.1328071688833383,15.604695052452788,9.987217411819094,16.089162657280323
KOTAKBANK,Financials,1,14.013018188532914,4.003739266919029,13.51960376324537,-7.360467011220518,83.66733645109092
LICI,Financials,0,49.44710986501021,0.0,8.15986061977938,-48.217288413715806,3.87474201090824
LODHA,Real Estate,0,8.895758200240426,0.4406663232010991,-2.8278535641862446,-13.167331275383065,25.833656455990695
LT,Industrials,0,77.66510140873214,0.10345688880007993,10.335347989682408,37.789734468642024,13.506668535997433
LTIM,Information Technology,0,22.904386052552702,0.10345688880007993,30.32798083513346,22.084440373864076,17.982937748120616
M&M,Consumer Discretionary,0,18.537543435564285,1.6414413053331318,5.838805854237616,10.027783515753708,17.89787025985418
MARUTI,Consumer Discretionary,0,15.750385351954785,0.001389602503619973,10.510215112642584,10.027783515753708,13.130031439890594
MOTHERSON,Consumer Discretionary,0,11.546549416937488,0.7616899254444657,9.21195713294276,-1.4285671285633073,9.445547764763102
NAUKRI,Communication Services,0,1.9661621835965897,0.008129006675038002,17.115610089960743,10.027783515753708,28.036277602523658
NESTLEIND,Consumer Staples,0,117.75449101796407,0.10329341317365269,14.548573711802671,4.320098447494725,23.829630236943512
NHPC,Energy,0,10.407730866621879,0.8413260296625498,1.404917217643753,-18.159592302569283,49.90656146179402
NTPC,Energy,0,13.273598407068633,1.475521125007778,12.222309654337993,12.69363356487755,28.82672926202094
ONGC,Energy,0,16.940398136885513,0.45444863084819176,7.001683761214439,11.573154797773345,17.388518015001793
PFC,Financials,3,26.1609340860332,8.521864217426122,11.081753577550923,-7.360467011220518,36.68859553263103
PIDILITIND,Materials,0,20.780302129178065,0.045438325205186154,11.836370175898114,23.53017525858574,21.868690947266415
PNB,Financials,3,61.320565191187306,3.684256345007701,15.902076009106025,-7.360467011220518,40.154298741775634
POWERGRID,Energy,1,17.870011245496066,1.4173456039290386,5.510261937513361,39.69769001638159,86.87476823070044
RECLTD,Financials,3,20.39653929343908,6.4249170872386445,13.338042247865678,-7.360467011220518,100.7702506471368
RELIANCE,Energy,0,9.958650553699458,0.5784524141094746,9.606097094616972,12.69363356487755,18.07459281612296
SBILIFE,Financials,0,12.704588140595655,0.0,24.231614182367544,-7.360467011220518,0.18638058005273206
SBIN,Financials,0,15.7424640544012,4.396553693928948,11.63380022632805,-9.42032384113779,-13.729168991026642
SHREECEM,Materials,0,8.370767521615225,0.07998840747717723,10.325615915556586,7.2404589297854205,22.01647093221578
SHRIRAMFIN,Financials,3,15.116350338120824,3.994034363699512,18.556070052776754,-7.360467011220518,28.918874354182698
SIEMENS,Industrials,0,17.698769290877124,0.018167610861496385,11.193358902067896,53.28962129081927,13.956834532374101
SUNPHARMA,Healthcare,0,15.094161810671148,0.051423814535002436,10.78116321985565,43.238258609440905,26.84289749881436
TATACONSUM,Consumer Staples,0,7.566793298872766,0.21654107242947002,15.96086282879563,-37.04887150623013,15.020386689464685
TATAMOTORS,Consumer Discretionary,0,37.45613415294755,1.2631244259167667,7.7201595386239275,10.027783515753708,13.595385542828959
TATAPOWER,Energy,0,13.227840276919272,1.659321300531586,15.511158201876407,-3.666968259247616,17.469771680580646
TATASTEEL,Materials,0,-5.334926929972293,0.9461835171402184,7.766224835881497,9.987217411819094,9.70803461170916
TCS,Information Technology,0,50.944313673485176,0.0886406082507266,10.463614801716602,10.770842456987783,26.690688396923118
TECHM,Information Technology,0,8.987963553189097,0.09512917619708275,8.398437919098868,16.78825509724664,8.666051234710363
TITAN,Consumer Discretionary,0,37.2192057915469,1.653145959757266,20.897163953120245,27.555157291093035,10.359408033826638
TORNTPHARM,Healthcare,0,24.154025670945156,0.5866394399066511,6.932744476678732,14.884634499872607,31.3944817300522
TRENT,Consumer Discretionary,0,36.30776794493609,0.4309242871189774,36.30691600183056,10.027783515753708,15.927272727272726
TVSMOTOR,Consumer Discretionary,0,26.223466981132077,3.833431603773585,14.192387704277065,10.027783515753708,14.050325712096054
