KPI,P10,P25,P50,P75,P90,Mean,Std
return_on_equity_pct,8.37,11.67,16.72,26.01,48.28,123.9,637.14
return_on_capital_pct,3.47,7.93,13.78,27.17,114.07,162.86,696.39
net_profit_margin_pct,4.62,7.25,14.21,20.35,29.25,20.02,45.18
operating_profit_margin_pct,9.84,16.01,25.83,40.15,84.04,34.67,27.51
debt_to_equity,0.01,0.06,0.43,1.59,6.45,1.67,2.86
interest_coverage,1.61,3.18,11.36,58.09,192.29,126.13,485.94
revenue_cagr_5yr,5.84,8.44,11.84,17.18,21.09,12.95,7.38
pat_cagr_5yr,4.36,9.86,16.28,23.78,39.28,21.11,21.55
fcf_cagr_5yr,-14.8,-4.08,12.59,26.29,40.76,15.48,40.04
cfo_pat_ratio,-3.69,0.49,1.11,1.73,2.94,0.79,3.43
